,Description,Classificació
146,"I acabem com hem començat este avanç. Amb Educació perquè4 conselleries es coordinen en ""l'Operació Pau"" per a garantir tots els protocols de seguretat que s'hauran de complir en les proves d'accés a la universitat. La Generalitat ha establit un dispositiu especial per a assegurar la igualtat d'oportunitats de tots els estudiants. Es treballa per a dotarlos de material de protecció i per a establir quina haurà de ser l'ocupació màxima de les aules. Estos exàmens, que tindran lloc entre el 7 i el 9 de juliol, es faran en 462 instituts i centres de batxillerat de la Comunitat Valenciana.DISPOSITIU ESPECIAL PER A LES PAU",ENSENYAMENT
147,suport directe amb elena riego des de borriana,MEDICINA I SANITAT | FESTES I TRADICIONS
150," Compromís no votarà a favor de la nova pròrroga de l'estat d'alarma que es durà al Congrés dels Diputas dimecres. Ho ha anunciat el diputat Joan Baldoví. Argumenta que el motiu és el repartiment del fons reembossable de 16.000 euros, que és diuinjust cap a la Comunitat Valenciana. Compromís posa a més damunt de la taula tres requisits per a revertir el seu vot desfavorable .",POLÍTICA
153,"Com els hem explicat a l'inici d'este avanç informatiu, la decisió de fer una excepció amb el departament de La Ribera a l'hora de demanar el pas a la fase 1 de tota la Comunitat Valenciana, està generant crítiques des d'alguns ajuntaments de les dos comarques afectades.Per la seua part, la síndica del Partit Popular, Isabel Bonig, ha assegurat que esta decisió demostra que la reversió de l'Hospital de la Ribera ha sigut un fracàs. Segons Bonig, les restriccions que imposa el Consell a la Ribera posen en evidència que la Conselleria de Sanitat no garanteix la seguretat en esta àrea de salut.",POLÍTICA
155,"A banda de la proposta valenciana, el Ministeri de Sanitat també ha de valorar abans de demà les peticions d'altres comunitats. A priori, Madrid, la comunitat presidida per la popular Isabel Díaz Ayuso, és la que presenta majors dificultats per a passar de fase.",MEDICINA I SANITAT
156,"Abans d'acabar els contem que, des de bon matí, una nova borrasca ens està deixant pluges generalitzades de sud a nord, puntualment fortes o molt fortes i acompanyades de tempesta.Les quantitats més destacables fins ara afecten la Ribera, amb 63 litres per metre quadrat a Càrcer i 50 a Benifaió. A la Plana Alta, a Borriol, s'han registrat prop de 40 litres i se n'han recollit una vintena a la ciutat d'Alacant. A València en porten vora 15. L'Agència Estatal de Meteorologia manté actiu l'avís groc fins a les 6 de la vesprada en previsió de pluges que puguen acumular més de 20 litres per metre quadrat en una hora.",FENÒMENS NATURALS
157,"Després de Fogueres, Magdalena i Falles, la de festes que se suspenen definitivament augmenten.Ja és oficial: enguany no se celebraran tampoc els Moros i Cristians d'Alcoi. En principi estaven previstes per als dies 25, 26 i 27 d'abril, però es van ajornar. Ara la suspesió es definitiva. Este matí l'alcalde d'Alcoi, Antoni Francés, i el president de l'associació Sant Jordi, Juan José Olcina, ho han anunciat en roda de premsa: no hi haurà festa el 2020. S'ha valorat la seguretat per damunt de tot i afirmen que des de ja mateix es posen a treballar en les festes de l'any que ve.se suspenen els moros i cristians d'alcoi",FESTES I TRADICIONS
158,"El metacrilat ha resorgit amb la Covid19. L'increment de la demanda, principalment de mampares de protecció, ha generat escassesa en el sector mundial i una pujada del 30% en el preu de la matèria primera. Les distribuïdores multipliquen les comandes i moltes empreses s'han reconvertit per a fabricar elements de protecció. Un centenar a la Foia de Castalla.",INDÚSTRIA
159,"L'ajuntament de València treballa a estes hores en la constitució d'una comissió especial per a la reconstrucció de la ciutat. Un òrgan que té com a objectiu pal·liar els efectes de la pandèmia de la Covid19 i recuperar la normalitat al més prompte possible. Es reunirà amb una periodicitat setmanal i estarà conformat per representants de tots els grups de la corporació local. La decisió s'ha pres amb els vots a favor de Compromís i del PSPV, que governen en coalició, però també del PP i de Ciutadans. Només Vox s'hi ha abstingut Sala de la Junta de Govern Local. Ajuntament, 1a planta. ES Constituïx L'ÒRGAN PER A RECONSTRUIR VALÈNCIA",POLÍTICA
160,El sector biotecnològic de la Comunitat Valenciana ha oferit a la conselleria de Sanitat la seua capacitat per a crear i processar mostres de tests ràpids i de PCR per a detectar la Covid19. Les empreses valencianes són capdavanteres en este tipus de tecnologia amb la qual volen donar resposta a les necessitats sanitàries actuals.,CIÈNCIA I INVESTIGACIÓ
161,"Les últimes dades de la Consellera de Sanitat indiquen que l'epidèmia de coronavirus continua estable. Des d'ahir s'han registrat 24 nous contagis per PCR. A més, hem de lamentar 9 morts mentre que les altes han sigut 218.A LA COMUNITAT BAIXA EL NOMBRE DE DECESSOS",MEDICINA I SANITAT
162,"En clau política, a les Corts s'ha constituït este matí la comissió parlamentària per a la reconstrucció de la Comunitat Valenciana com a conseqüència de la crisi del coronavirus.Hi ha hagut un acord entre Ciutadans i els grups del Botànic per a triar la mesa de la comissió. La presidència l'ocuparà la socialista Carmen Martínez, el vicepresident serà el diputat de Ciutadans, Fernando Llopis, i la secretària, la diputada de Compromís Aitana Mas. El Partit Popular i Vox han votat en blanc en esta distribució de responsabilitats. La comissió d'estudi començarà la setmana que ve. Els treballs de la comissió han d'estar acabats abans del 20 de juliol.Carmen Martínez presidix la comissió",POLÍTICA
164,"Pel que fa Espanya, els nou positius confirmats en l'ultima dia són 549 i les morts 138. Això suposa un clar descens respecte ahir. A més, 1.400 persones s'han recuperat. En estos moments, Espanya ha baixat a ser el quart pais del mon en contagis, amb 230.000, i el quint en morts, amb unes 27.500.A ESPANYA DESCENDIX LA INCIDÈNCIA DE L'EPIDÈMIA",MEDICINA I SANITAT
165,"??A hores d'ara, totes les mirades estan posades en l'avaluació que farà el Ministeri de Sanitat d'estes dades.  1.743 NOUS CASOS POSITIUS EN ELS ÚLTIMS 14 DIES",MEDICINA I SANITAT
166,"L'Ajuntament de Xàtiva es persona en la causa oberta a l'Audiència de València pel presumpte finançament il·legal de l'Olímpic, l'equip de futbol de la capital de la Costera,quan l'exalcalde, el popular Alfonso Rus, n'era president. Segons l'informe de la UCO de la Guàrdia Civil algunes empreses finançaven el club a canvi d'adjudicacions públiques. El consistori, governat ara pel socialista Roger Cerdà, es persona en qualitat de perjudicat i reclamarà el dany ocasionat a les arques municipals.L'AJUNTAMENT DE XÀTIVA ES PERSONA CONTRA RUS",JUSTÍCIA I ORDRE  PÚBLIC
167,"Els ministres d'Economia de la zona euro aproven una línia de crèdit de 240.000 milions d'euros per a lluitar contra la pandèmia. Els préstecs s'hauran d'usar per a finançar les despeses sanitàries. Els països hauran de tornar els diners abans de 10 anys i el límit és el 0,2% del producte interior brut. Espanya podria demanar al voltant de 25.000 milions d'euros. El govern central diu que decidirà si acudix a este fons de rescat tenint en compte els interessos generals.240.000 MILIONS CONTRA LA PANDÈMIA","ECONOMIA, COMERÇ I FINANCES"
168,"Fins ací la roda de premsa de la vicepresidenta i portaveu del Consell, Mónica Oltra, qui ha demanat prudència davant la decisió que el ministeri de Sanitat anunciarà esta vesprada sobre la petició de la Generalitat perquè tota la Comunitat Valenciana avance dilluns que ve a la fase 1 de la desescalada.Abans d'acabar els contem que el pintor valencià Joan Genovés ha mort als 90 anys a sa casa de Madrid. L'artista treballava en les obres que anaven a formar part pròximament d'una exposició a la galeria Malborough.En estes imatges el veiem en un dels últims actes públics, al desembre passat, quan va rebre la medalla de les Arts de Sant Carles, que li va atorgar la Facultat de Belles Arts de la Universitat Politècnica de València. Integrant de diversos col·lectius artístics com el grup Parpalló, el treball de Genovés es va caracteritzar per la denúncia contra el règim franquista. Una de les seues obres més icòniques és la de 'L'abraçada', homenatge als advocats laboralistes assassinats a Atocha, a l'inici de la transició.MOR EL PINTOR VALENCIÀ JOAN GENOVÉS",ARTS
170,"Abans de conéixer la decisió final del ministeri, a les 4 d'esta vesprada tindrà lloc una interterritorial de sanitat.Sanitat vol valorar amb les comunitats autònomes la possibilitat d'obligar a usar les mascaretes en espais públics. De moment només són obligatòries si s'utilitza el transport públic, però els responsables sanitaris debaten ampliar esta norma, coincidint amb l'avanç en la desescalada.LES MASCARETES PODRIEN SER Obligatòries AL CARRER",MEDICINA I SANITAT
173,"Impossible no emocionarse amb estes imatges. Les de l'eixida de l'UCI de la primera pacient que va entrar en esta unitat de l'Hospital de Sagunt. Després de 60 dies, hui n'ha eixit. Va ser la primera que hi va entrar, però també l'última que n'ha eixit. Ara ja no queda cap pacient de Covid19 en el servei de cures intensives d'este hospital. Una moment que és un símbol de la lluita contra el virus i de l'esforç del personal sanitari.PRIMERA PACIENT QUE HI ENTRÀ I ÚLTIMA QUE N'IX",MEDICINA I SANITAT
174,El tancament dels col·legis ha suposat la paralització pràcticament total de les empreses que realitzen el transport escolar i de les que s'encarreguen dels menjadors. La Conselleria d'Educació s'ha compromés a compensar els dos sectors amb 38 milions d'euros pels serveis que han deixat de prestar des del 16 de març fins a final de curs.,TRANSPORTS I COMUNICACIONS | GASTRONOMIA
176," I el Corpus de València és l'última de les celebracions que se sumen a la llista de cancel·lacions.L'Ajuntament de la capital i l'arquebisbat de València han acordat no dur a terme els diferents actes de la coneguda com Festa Grossa. L'actual conjuntura marcada per la Covid19 ha obligat a suspendre els actes previs, els cicles de conferències, el Trasllat de les Roques, la Cavalcada del Convit i la processó de la vesprada. També se suspén el concert previst de la Banda Municipal.SE SUSPENEN TOTS ELS ACTES DEL CORPUS DE VALÈNCIA",FESTES I TRADICIONS
177,"Bon Dia.El Ministeri de Sanitari anunciarà esta vesprada si els territoris que han demanat avançar de fase en la desescalada, entre els quals la Comunitat Valenciana, ho poden fer i en quines condicions.El departament de Salvador Illa, que ahir va acabar de reunirse amb totes eixes autonomies que han sol.licitat algun canvi, seguirà analitzant durant tot el dia les propostes que ha rebut. En el cas de Madrid, fins i tot, tenen prevista una segona reunió. La presidenta madrilenya, la popular Isabel Diaz Ayuso, va avançar anit que el ministeri vol deixar la seua comunitat en la fase 0. En canvi, la consellera Ana Barceló va assegurar a través d'un comunicat que la proposta valenciana ha sigut ben acollida pel govern espanyol.ILLA ESTUDIA LES PROPOSTES PER PASSAR DE FASE",POLÍTICA
179,"La crisi sanitària modificarà també enguany la forma d'estiuejar. La tendència és clara: Mentre es produïxen cancel·lacions massives de les reserves d'apartaments a les zones costaneres, es dispara la demanda de lloguer de xalets amb piscina. Veus del sector immobiliari parlen de pèrdues de fins a un 40% del lloguer vacacional i demanen que el govern espanyol determine quan es recuperarà la mobilitat entre províncies.Esperen que amb el turisme nacional es puga salvar la campanya d'estiu, perquè al visitant estranger ja el donen per perdut.Amb les zones costaneres amb interrogants, la demanda de lloguer de vivendes unifamiliars amb piscina s'ha triplicat.El preu d'estes vivendes ha experimentat una pujada considerable, ja que l'oferta és insuficient per a atendre una demanda en augment ",TURISME
180, La policia local d'Alboraia ha denunciat 8 joves per incomplir el confinament. El grup es trobava en una zona de l'Horta conversant i escoltant música sense respectar l'estat d'alarma.Van ser els propis veïns qui van avisar la policia. No és el primer cas d'este tipus. Fa uns dies van denunciar a un altre grup de joves que fumanevn haixix en la partida de l?ermita dels Peixets. Des que va començar el confinament s'ha denunciat a 300 persones en este municipi de l'Horta.DENUNCIEN 8 JOVES PER BOTARSE EL CONFINAMENT,JUSTÍCIA I ORDRE  PÚBLIC
